	latitude	longitude
Stralsund	54.30911	13.0818
Würzburg	49.79391	9.95121
Grimsby	53.56539	-0.07553
Zara	39.89778	37.75833
Halle	50.73385	4.23454
Sewastopol	44.60795	33.52134
Elberfeld	51.25083	7.14816
Holstein	42.48915	-95.545
Archangelsk	64.5401	40.5433
Preßburg	48.14816	17.10674
Tours	47.39484	0.70398
Rostock	54.0887	12.14049
Luzern	47.05048	8.30635
Sanssouci	52.39886	13.06566
Beirut	33.89332	35.50157
Tuckum	56.96764	23.15554
Taschkent	41.26465	69.21627
Niederlanden	52.25	5.75
Parma	44.79935	10.32618
Metz	49.11911	6.17269
Tilsit	55.08392	21.87851
Regensburg	49.01513	12.10161
Peterhof	59.88333	29.9
Arensburg	53.67515	10.22593
Göttingen	51.53443	9.93228
Mexiko	19.42847	-99.12766
Altenburg	50.98763	12.43684
Helvoet	51.83333	4.13333
Tunis	36.81897	10.16579
Gibraltar	36.14474	-5.35257
Cettinje	42.39063	18.91417
Brünn	49.19522	16.60796
Teplitz	50.6404	13.82451
Walk	57.77781	26.0473
Leith	55.9713	-3.1723
Havre	48.55	-109.68409
Belfast	54.59682	-5.92541
Dessau	51.83864	12.24555
Cadix	36.52672	-6.2891
Livland	57.627445	26.132553
Swinemünde	53.91053	14.24712
Rastatt	48.85851	8.20965
Kasan	55.78874	49.12214
Meiningen	50.56787	10.41521
Oporto	41.14961	-8.61099
Ostende	51.21551	2.927
Shanghai	31.22222	121.45806
Orenburg	51.7727	55.0988
Trier	49.75565	6.63935
Jena	50.92878	11.5899
Zante	37.78022	20.89555
Nauplia	37.56863	22.80691
Orel	52.96508	36.07849
Grangemouth	56.01141	-3.72183
Ofen	47.5	19.03333
Oesterreich	47.33333	13.33333
Gravenhaag	52.07667	4.29861
Teheran	35.69439	51.42151
Livadia	45.20546	24.24192
Vlissingen	51.4425	3.57361
Malchin	53.7399	12.76539
Kissingen	50.20228	10.07784
Rustschuk	43.84872	25.9534
Zarskoje-Sselo	59.71417	30.39642
Saragossa	41.65606	-0.87734
Philippopel	42.15	24.75
Brandenburgischen	52.45905	13.01582
Bayreuth	49.94782	11.57893
Helgoland	54.18143	7.8863
Twer	56.85836	35.90057
Olmütz	49.59552	17.25175
Schellenberg	47.23123	9.54678
Baltischport	59.35667	24.05306
Boston	42.35843	-71.05977
Konstanz	47.66033	9.17582
Worms	49.63278	8.35916
Texel	53.08333	4.83333
Tirnowo	43.08124	25.62904
Porto	41.14961	-8.61099
Ssaratow	51.54056	46.00861
Graz	47.06667	15.45
Polnische Grenze	0.0	0.0
Rotterdam	51.9225	4.47917
Aberdeen	57.14369	-2.09814
Hermannstadt	45.8	24.15
Gastein	47.11547	13.13467
Saarbrücken	49.23262	7.00982
Glasgow	55.86515	-4.25763
Messina	38.19394	15.55256
Shields	43.4153	-84.05637
Etrl	0.0	0.0
Plymouth	50.37153	-4.14305
Vlie	53.309587	5.198747
Hapsal	58.94306	23.54139
Arbroath	56.56317	-2.58736
Trapezunt	41.005	39.72694
Newport	51.58774	-2.99835
Linz	48.30639	14.28611
Speyer	49.32083	8.43111
Preußen	52.182289	14.95914
Caprera	41.2	9.46667
Astrachan	46.34968	48.04076
Charlottenburg	52.51667	13.28333
Dirschau	54.09242	18.77787
Chur	46.84986	9.53287
Elbing	54.1522	19.40884
Cattaro	42.42067	18.76825
Galacz	45.43687	28.05028
Marienburg	54.03591	19.0266
Simla	31.10442	77.16662
Havanna	23.13302	-82.38304
Sünderland	54.90465	-1.38222
Manchester	53.48095	-2.23743
Cuxhaven	53.86828	8.69902
Goldingen	47.26477	8.96167
Frankreich	46.0	2.0
Möttau	50.45357	8.40042
Lausanne	46.516	6.63282
Lille	50.63297	3.05858
Kahira	30.06263	31.24967
Coblenz	50.35357	7.57883
Pleskau	57.8136	28.3496
Detmold	51.93855	8.87318
Gumbinnen	54.59222	22.19972
Niederrhein	51.490733	6.692922
San Francisco	37.77493	-122.41942
Nieder-Elbe	53.78893	9.42576
Elbe	52.08333	10.28333
Kaluga	54.5293	36.27542
Skutari	41.02274	29.01366
Ischl	47.71109	13.61893
Veracruz	19.18095	-96.1429
Southampton	50.90395	-1.40428
Oger	56.8162	24.61401
Gatschina	59.57639	30.12833
Taganrog	47.23627	38.9053
Melbourne	-37.814	144.96332
Paderborn	51.71905	8.75439
Karlsbad	33.15809	-117.35059
Smolensk	54.7818	32.0401
